event_name,location_text,note
[Cleanup 0.0] 中角沙珠灣淨灘,中角沙珠灣,
[Cleanup 0.1] 老梅石槽淨灘,白沙灣遊憩區 新北市石門,
WaveNova x Scallop Beach Cleanup,Cemagi Beach,
[Cleanup 0.4] Beach Cleanup @Sanur Bali,Metasari Beach,
[Cleanup 0.3] WaveNova x Taiwan English Exchange,白沙灣遊憩區 新北市石門,
[Cleanup 0.5] 1follow1plastic @Kedonganan Beach,Kedonganan Beach,
[Cleanup 0.6] 馬年第一淨,永鎮海濱公園,
[Cleanup 0.7] Scallop 松柏漁港之約,松柏漁港,
[Cleanup 1.0] The Blue Loop,Selong Belanak Beach,
[Cleanup 0.8] 淨淨的 Revival,白沙灣遊憩區 新北市石門,
[Cleanup 0.10] 淨爆大安,南埔海堤,活動名稱為推測拼法
[Cleanup 0.9] 碳佐麻里,旗津沙灘,活動名稱為推測拼法
[Cleanup 0.11] 潮澎湖,澎湖望安,活動名稱為推測拼法
[Cleanup 0.12] 再戰南埔,南埔海堤,
[Cleanup 0.14] 石全石美,白沙灣遊憩區 新北市石門,
[Cleanup 0.16] 六七六七,港南濱海風景區,
[Cleanup 0.15] 續浪桃源,豬鼻子海灘 澎湖湖西,
[Cleanup 0.18] 黃金海岸,黃金海岸 新北市石門,
[Cleanup 0.19] 皮塔盛夏,白沙灣遊憩區 新北市石門,活動名稱為推測拼法
[Cleanup 0.17] Frui x somos03 淨好大鼻尾,鼻頭角,
